name,Sa,Sz,Str,Spc,Sdr,Sq,Ssk,Sku,Sp,Sv,Sal,Std,Sdq,Spd,Sk,Spk,Svk,Smr1,Smr2,Sxp,Vvv,Vvc,Vmp,Vmc,Area size
Image2389,1.178,21.304,0.677,1968.083,0.3678,1.618,-0.243,4.770,9.302,12.001,9.030,49.800,0.956,46460.541,2.935,2.040,2.335,14.278,84.569,3.288,0.241,1.750,0.099,1.226,373424.654
Image2390,0.189,7.322,0.786,224.583,0.006692,0.264,1.592,18.285,5.156,2.166,12.829,0.000,0.118,22041.246,0.547,0.401,0.251,12.274,90.026,0.560,0.027,0.288,0.021,0.197,373424.654
Image2391,0.337,16.600,0.579,336.887,0.01401,0.477,0.975,11.653,6.062,10.538,20.646,14.500,0.180,30675.767,0.912,0.786,0.496,13.876,90.072,1.115,0.049,0.517,0.042,0.334,373424.654
Image2392,0.371,21.101,0.815,400.098,0.01910,0.696,4.239,58.578,12.547,8.554,17.510,143.100,0.207,33467.157,0.929,1.160,0.757,12.147,89.172,0.993,0.065,0.486,0.064,0.336,373424.654
Image2393,0.319,12.774,0.707,417.105,0.01969,0.429,0.094,9.657,5.514,7.260,17.549,11.500,0.211,33558.414,0.943,0.579,0.448,12.570,90.584,0.931,0.046,0.498,0.029,0.337,373424.654
Image2394,0.334,10.553,0.763,451.824,0.02136,0.476,0.818,10.034,5.718,4.835,18.157,105.400,0.213,30168.485,0.870,0.754,0.539,14.915,89.402,1.095,0.051,0.519,0.040,0.330,373424.654
Image2395,0.281,17.791,0.642,338.867,0.01288,0.421,-0.618,35.336,4.310,13.481,16.740,26.200,0.169,21142.096,0.725,0.685,0.506,13.312,87.890,0.938,0.049,0.416,0.036,0.277,373424.654
Image2396,0.406,16.334,0.609,498.120,0.03686,0.594,0.104,15.423,6.528,9.805,15.207,22.600,0.310,29658.520,1.082,0.911,0.764,14.168,90.746,1.293,0.064,0.618,0.048,0.394,373424.654
Image2397,0.519,26.605,0.638,554.995,0.04171,0.926,3.221,41.978,13.947,12.658,16.575,105.500,0.316,30920.013,1.291,1.610,1.058,12.844,89.744,1.545,0.089,0.701,0.091,0.465,373424.654
Image2398,0.366,12.665,0.592,474.318,0.02328,0.488,0.462,8.207,5.439,7.225,19.082,26.400,0.232,37176.485,1.075,0.672,0.458,13.293,91.016,1.075,0.048,0.585,0.033,0.388,373424.654
Image2399,0.348,14.794,0.651,484.412,0.02602,0.490,-0.461,19.312,5.574,9.220,16.131,15.600,0.242,32994.768,0.964,0.736,0.558,14.053,90.786,1.119,0.050,0.557,0.037,0.355,373424.654
Image2400,0.432,17.106,0.813,416.135,0.02101,0.595,0.287,8.649,4.953,12.153,19.089,38.100,0.216,14818.524,1.161,0.940,0.672,14.702,90.192,1.435,0.063,0.699,0.047,0.436,373424.654
Image2401,0.485,16.062,0.653,574.225,0.03797,0.689,0.551,13.136,7.227,8.835,16.249,26.100,0.312,23216.850,1.374,1.087,0.674,13.313,91.339,1.562,0.064,0.755,0.057,0.498,373424.654
